num training examples:  3276
num testing examples:  820
GNN2(
  (GCNconv1): GCNConv(8, 128)
  (GCNconv2): GCNConv(128, 64)
  (GCNconv3): GCNConv(64, 32)
  (GCNconv4): GCNConv(32, 16)
  (CNNconv1): Conv1d(16, 64, kernel_size=(10,), stride=(1,))
  (CNNconv2): Conv1d(64, 32, kernel_size=(10,), stride=(1,))
  (CNNconv3): Conv1d(32, 16, kernel_size=(10,), stride=(1,))
  (avg_pool): AvgPool1d(kernel_size=(2,), stride=(2,), padding=(0,))
  (fc1): Linear(in_features=384, out_features=8192, bias=True)
  (fc2): Linear(in_features=8192, out_features=1, bias=True)
  (dropout): Dropout(p=0.1, inplace=False)
)
Parameters:  3210081
Epoch 1/100, Loss: 55.2212
Epoch 2/100, Loss: 1.0866
Epoch 3/100, Loss: 0.6025
Epoch 4/100, Loss: 0.5759
Epoch 5/100, Loss: 0.5719
Epoch 6/100, Loss: 0.5766
Epoch 7/100, Loss: 0.5712
Epoch 8/100, Loss: 0.5691
Epoch 9/100, Loss: 0.5725
Epoch 10/100, Loss: 0.5754
Epoch 11/100, Loss: 0.5721
Epoch 12/100, Loss: 0.5724
Epoch 13/100, Loss: 0.5707
Epoch 14/100, Loss: 0.5706
Epoch 15/100, Loss: 0.5672
Epoch 16/100, Loss: 0.5579
Epoch 17/100, Loss: 0.5677
Epoch 18/100, Loss: 0.5705
Epoch 19/100, Loss: 0.5577
Epoch 20/100, Loss: 0.5540
Epoch 21/100, Loss: 0.5615
Epoch 22/100, Loss: 0.5548
Epoch 23/100, Loss: 0.5311
Epoch 24/100, Loss: 0.5155
Epoch 25/100, Loss: 0.5120
Epoch 26/100, Loss: 0.5080
Epoch 27/100, Loss: 0.5047
Epoch 28/100, Loss: 0.5058
Epoch 29/100, Loss: 0.5059
Epoch 30/100, Loss: 0.4818
Epoch 31/100, Loss: 0.3498
Epoch 32/100, Loss: 0.2553
Epoch 33/100, Loss: 0.2114
Epoch 34/100, Loss: 0.1784
Epoch 35/100, Loss: 0.1672
Epoch 36/100, Loss: 0.1552
Epoch 37/100, Loss: 0.1401
Epoch 38/100, Loss: 0.1279
Epoch 39/100, Loss: 0.1254
Epoch 40/100, Loss: 0.1196
Epoch 41/100, Loss: 0.1124
Epoch 42/100, Loss: 0.1105
Epoch 43/100, Loss: 0.1073
Epoch 44/100, Loss: 0.1054
Epoch 45/100, Loss: 0.1016
Epoch 46/100, Loss: 0.0904
Epoch 47/100, Loss: 0.0838
Epoch 48/100, Loss: 0.0791
Epoch 49/100, Loss: 0.0704
Epoch 50/100, Loss: 0.0715
Epoch 51/100, Loss: 0.0673
Epoch 52/100, Loss: 0.0625
Epoch 53/100, Loss: 0.0606
Epoch 54/100, Loss: 0.0664
Epoch 55/100, Loss: 0.0559
Epoch 56/100, Loss: 0.0561
Epoch 57/100, Loss: 0.0553
Epoch 58/100, Loss: 0.0553
Epoch 59/100, Loss: 0.0518
Epoch 60/100, Loss: 0.0552
Epoch 61/100, Loss: 0.0495
Epoch 62/100, Loss: 0.0477
Epoch 63/100, Loss: 0.0478
Epoch 64/100, Loss: 0.0477
Epoch 65/100, Loss: 0.0488
Epoch 66/100, Loss: 0.0464
Epoch 67/100, Loss: 0.0449
Epoch 68/100, Loss: 0.0423
Epoch 69/100, Loss: 0.0433
Epoch 70/100, Loss: 0.0425
Epoch 71/100, Loss: 0.0385
Epoch 72/100, Loss: 0.0424
Epoch 73/100, Loss: 0.0409
Epoch 74/100, Loss: 0.0404
Epoch 75/100, Loss: 0.0389
Epoch 76/100, Loss: 0.0371
Epoch 77/100, Loss: 0.0356
Epoch 78/100, Loss: 0.0419
Epoch 79/100, Loss: 0.0363
Epoch 80/100, Loss: 0.0352
Epoch 81/100, Loss: 0.0368
Epoch 82/100, Loss: 0.0334
Epoch 83/100, Loss: 0.0352
Epoch 84/100, Loss: 0.0318
Epoch 85/100, Loss: 0.0353
Epoch 86/100, Loss: 0.0314
Epoch 87/100, Loss: 0.0334
Epoch 88/100, Loss: 0.0314
Epoch 89/100, Loss: 0.0307
Epoch 90/100, Loss: 0.0301
Epoch 91/100, Loss: 0.0304
Epoch 92/100, Loss: 0.0299
Epoch 93/100, Loss: 0.0302
Epoch 94/100, Loss: 0.0284
Epoch 95/100, Loss: 0.0282
Epoch 96/100, Loss: 0.0260
Epoch 97/100, Loss: 0.0251
Epoch 98/100, Loss: 0.0260
Epoch 99/100, Loss: 0.0272
Epoch 100/100, Loss: 0.0253
Average Test Loss: 0.0005
RMSE: 1.8801
