num training examples:  3276
num testing examples:  820
GNN2(
  (GCNconv1): GCNConv(8, 128)
  (GCNconv2): GCNConv(128, 64)
  (GCNconv3): GCNConv(64, 32)
  (GCNconv4): GCNConv(32, 16)
  (CNNconv1): Conv1d(16, 64, kernel_size=(10,), stride=(1,))
  (CNNconv2): Conv1d(64, 32, kernel_size=(10,), stride=(1,))
  (CNNconv3): Conv1d(32, 16, kernel_size=(10,), stride=(1,))
  (avg_pool): AvgPool1d(kernel_size=(2,), stride=(2,), padding=(0,))
  (fc1): Linear(in_features=384, out_features=8192, bias=True)
  (fc2): Linear(in_features=8192, out_features=1, bias=True)
  (dropout): Dropout(p=0.1, inplace=False)
)
Parameters:  3210081
Epoch 1/100, Loss: 61.4939
Epoch 2/100, Loss: 1.5006
Epoch 3/100, Loss: 0.6561
Epoch 4/100, Loss: 0.5845
Epoch 5/100, Loss: 0.5845
Epoch 6/100, Loss: 0.5831
Epoch 7/100, Loss: 0.5836
Epoch 8/100, Loss: 0.5869
Epoch 9/100, Loss: 0.5827
Epoch 10/100, Loss: 0.5859
Epoch 11/100, Loss: 0.5884
Epoch 12/100, Loss: 0.5817
Epoch 13/100, Loss: 0.5827
Epoch 14/100, Loss: 0.5835
Epoch 15/100, Loss: 0.5758
Epoch 16/100, Loss: 0.5835
Epoch 17/100, Loss: 0.5776
Epoch 18/100, Loss: 0.5745
Epoch 19/100, Loss: 0.5728
Epoch 20/100, Loss: 0.5792
Epoch 21/100, Loss: 0.5779
Epoch 22/100, Loss: 0.5752
Epoch 23/100, Loss: 0.5617
Epoch 24/100, Loss: 0.5630
Epoch 25/100, Loss: 0.5473
Epoch 26/100, Loss: 0.5295
Epoch 27/100, Loss: 0.5198
Epoch 28/100, Loss: 0.5240
Epoch 29/100, Loss: 0.5125
Epoch 30/100, Loss: 0.5100
Epoch 31/100, Loss: 0.4941
Epoch 32/100, Loss: 0.4976
Epoch 33/100, Loss: 0.3698
Epoch 34/100, Loss: 0.2737
Epoch 35/100, Loss: 0.2533
Epoch 36/100, Loss: 0.2076
Epoch 37/100, Loss: 0.2020
Epoch 38/100, Loss: 0.1814
Epoch 39/100, Loss: 0.1765
Epoch 40/100, Loss: 0.1510
Epoch 41/100, Loss: 0.1411
Epoch 42/100, Loss: 0.1403
Epoch 43/100, Loss: 0.1278
Epoch 44/100, Loss: 0.1131
Epoch 45/100, Loss: 0.1098
Epoch 46/100, Loss: 0.1007
Epoch 47/100, Loss: 0.0970
Epoch 48/100, Loss: 0.0883
Epoch 49/100, Loss: 0.0846
Epoch 50/100, Loss: 0.0770
Epoch 51/100, Loss: 0.0777
Epoch 52/100, Loss: 0.0806
Epoch 53/100, Loss: 0.0738
Epoch 54/100, Loss: 0.0709
Epoch 55/100, Loss: 0.0636
Epoch 56/100, Loss: 0.0617
Epoch 57/100, Loss: 0.0613
Epoch 58/100, Loss: 0.0592
Epoch 59/100, Loss: 0.0564
Epoch 60/100, Loss: 0.0563
Epoch 61/100, Loss: 0.0558
Epoch 62/100, Loss: 0.0567
Epoch 63/100, Loss: 0.0562
Epoch 64/100, Loss: 0.0500
Epoch 65/100, Loss: 0.0464
Epoch 66/100, Loss: 0.0486
Epoch 67/100, Loss: 0.0450
Epoch 68/100, Loss: 0.0433
Epoch 69/100, Loss: 0.0431
Epoch 70/100, Loss: 0.0433
Epoch 71/100, Loss: 0.0422
Epoch 72/100, Loss: 0.0423
Epoch 73/100, Loss: 0.0410
Epoch 74/100, Loss: 0.0366
Epoch 75/100, Loss: 0.0358
Epoch 76/100, Loss: 0.0334
Epoch 77/100, Loss: 0.0342
Epoch 78/100, Loss: 0.0345
Epoch 79/100, Loss: 0.0348
Epoch 80/100, Loss: 0.0353
Epoch 81/100, Loss: 0.0317
Epoch 82/100, Loss: 0.0299
Epoch 83/100, Loss: 0.0297
Epoch 84/100, Loss: 0.0298
Epoch 85/100, Loss: 0.0289
Epoch 86/100, Loss: 0.0267
Epoch 87/100, Loss: 0.0274
Epoch 88/100, Loss: 0.0270
Epoch 89/100, Loss: 0.0257
Epoch 90/100, Loss: 0.0279
Epoch 91/100, Loss: 0.0280
Epoch 92/100, Loss: 0.0261
Epoch 93/100, Loss: 0.0255
Epoch 94/100, Loss: 0.0246
Epoch 95/100, Loss: 0.0222
Epoch 96/100, Loss: 0.0215
Epoch 97/100, Loss: 0.0229
Epoch 98/100, Loss: 0.0214
Epoch 99/100, Loss: 0.0214
Epoch 100/100, Loss: 0.0219
Average Test Loss: 0.0004
RMSE: 1.6138
